"id","pvalue"
"cg00000292","1.70723496721661e-05"
"cg00002426","0.0260469742912721"
"cg00003994","1.02382468359391e-14"
"cg00005847","0.999786272814977"
"cg00007981","0.000464081434265089"
"cg00008493","0.350308814036573"
"cg00008713","0.00285209366512865"
"cg00009407","0.0234735049913189"
"cg00011459","0.0937409585163565"
"cg00012199","0.218270484320128"
"cg00012386","0.284708463958185"
"cg00012792","0.000750046823011584"
"cg00014085","0.130995956757984"
"cg00015770","3.08901227342579e-22"
"cg00016968","0.000119720075520441"
"cg00019495","8.17898697277817e-93"
"cg00020533","3.75549152147716e-13"
"cg00021527","0.00552775593771427"
"cg00022866","0.000475829724271751"
"cg00024396","0.112387954073566"
"cg00024812","0.48339236633415"
"cg00025991","0.4302520518459"
"cg00027083","5.02482400899575e-23"
"cg00029826","0.800330566828053"
"cg00029931","3.06029305209323e-08"
"cg00031162","5.89868386166905e-15"
"cg00032227","0.00334844879645015"
"cg00033516","0.00395484349120517"
"cg00033773","6.16308395669094e-06"
"cg00034039","1.07266418988441e-05"
"cg00035623","1.34578046991355e-05"
"cg00037763","0.000261012538719228"
"cg00037940","4.26465337779305e-08"
"cg00040861","0.144932027240291"
"cg00040873","0.00144788107097325"
"cg00047050","0.503025464604889"
"cg00047469","2.53257455601462e-07"
"cg00050312","0.00187248746624303"
"cg00051979","0.0359654775819552"
"cg00053292","0.00012515813588673"
"cg00054706","0.0321717155042775"
"cg00056767","0.295359999061374"
"cg00059225","0.0602240040098432"
"cg00059424","0.550870015723677"
"cg00059740","0.0710898799684671"
"cg00059930","0.996047943036486"
"cg00060762","0.00463798626914716"
"cg00060882","0.363617445398208"
"cg00061059","0.000395381621382688"
"cg00062776","0.00137438054851168"
"cg00065385","2.31842693614475e-06"
"cg00065408","0.0103720710604309"
"cg00066153","1.94039170146037e-11"
"cg00066816","0.376622853536138"
"cg00067471","7.98147532490186e-09"
"cg00069261","0.0153528163196946"
"cg00071250","0.176328529937193"
"cg00071998","0.802632230665344"
"cg00072216","3.48425621855945e-07"
"cg00075967","0.000105551920946857"
"cg00076645","0.750040165957491"
"cg00077877","9.88770159626745e-10"
"cg00078194","0.00130883581994581"
"cg00078867","1.23901227493713e-17"
"cg00079056","0.122705093647922"
"cg00079563","3.0624990262109e-10"
"cg00080012","0.406843872377731"
"cg00081935","0.179220632054259"
"cg00081975","0.000167758620347459"
"cg00083937","5.28148766908348e-21"
"cg00084687","1.53820139941484e-07"
"cg00089071","0.208995341371675"
"cg00090147","7.32333102136491e-12"
"cg00091693","8.2349311303355e-26"
"cg00093177","6.3729258546075e-05"
"cg00094319","0.504371951087264"
"cg00094851","0.707557971576508"
"cg00095526","0.288521786011373"
"cg00095674","0.0341687363873381"
"cg00096922","2.71564715228842e-12"
"cg00097536","0.0052444388720905"
