"tumor.name","tumor","normal"
"ACC","79","0"
"BLCA","408","19"
"BRCA","1093","112"
"CESC","304","3"
"CHOL","36","9"
"COAD","285","41"
"COADREAD","379","51"
"DLBC","15","0"
"ESCA","184","11"
"GBM","153","0"
"GBMLGG","669","0"
"HNSC","520","44"
"KICH","66","25"
"KIPAN","889","129"
"KIRC","533","72"
"KIRP","290","32"
"LAML","0","0"
"LGG","516","0"
"LIHC","371","50"
"LUAD","515","59"
"LUSC","501","51"
"MESO","87","0"
"OV","303","0"
"PAAD","178","4"
"PCPG","179","3"
"PRAD","497","52"
"READ","94","10"
"SARC","259","2"
"SKCM","103","1"
"STAD","37","4"
"STES","221","15"
"TGCT","150","0"
"THCA","501","59"
"THYM","120","2"
"UCEC","176","24"
"UCS","57","0"
"UVM","80","0"
